text,aspect_term,polarity
But the staff was so horrible to us.,staff,negative
To be completely fair[comma] the only redeeming factor was the food[comma] which was above average[comma] but couldn't make up for all the other deficiencies of Teodora.,food,positive
The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,food,positive
The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,kitchen,positive
The food is uniformly exceptional[comma] with a very capable kitchen which will proudly whip up whatever you feel like eating[comma] whether it's on the menu or not.,menu,neutral
Not only was the food outstanding[comma] but the little 'perks' were great.,food,positive
Not only was the food outstanding[comma] but the little 'perks' were great.,perks,positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral
The Bagels have an outstanding taste with a terrific texture[comma] both chewy yet not gummy.,Bagels,positive
Nevertheless the food itself is pretty good.,food,positive
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,toast,negative
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,mayonnaise,negative
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,bacon,negative
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,cheese,neutral
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,ingredients,negative
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,plate,neutral
They did not have mayonnaise[comma] forgot our toast[comma] left out ingredients (ie cheese in an omelet)[comma] below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.,omelet,neutral
It took half an hour to get our check[comma] which was perfect since we could sit[comma] have drinks and talk!,drinks,neutral
It took half an hour to get our check[comma] which was perfect since we could sit[comma] have drinks and talk!,check,neutral
The design and atmosphere is just as good.,design,positive
The design and atmosphere is just as good.,atmosphere,positive
He has visited Thailand and is quite expert on the cuisine.,cuisine,positive
The pizza is the best if you like thin crusted pizza.,pizza,positive
The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral
All the money went into the interior decoration[comma] none of it went to the chefs.,interior decoration,positive
All the money went into the interior decoration[comma] none of it went to the chefs.,chefs,negative
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative
I asked for seltzer with lime[comma] no ice.,seltzer with lime,neutral
Don't go alone---even two people isn't enough for the whole experience[comma] with pickles and a selection of meats and seafoods.,pickles,positive
Don't go alone---even two people isn't enough for the whole experience[comma] with pickles and a selection of meats and seafoods.,selection of meats and seafoods,positive
My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral
My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive
Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,vibe,positive
Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,owner,positive
Best of all is the warm vibe[comma] the owner is super friendly and service is fast.,service,positive
Faan's got a great concept but a little rough on the delivery.,delivery,negative
From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,food,positive
From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,atmosphere,positive
From the incredible food[comma] to the warm atmosphere[comma] to the friendly service[comma] this downtown neighborhood spot doesn't miss a beat.,service,positive
Great food at REASONABLE prices[comma] makes for an evening that can't be beat!,food,positive
Great food at REASONABLE prices[comma] makes for an evening that can't be beat!,prices,positive
this little place has a cute interior decor and affordable city prices.,interior decor,positive
this little place has a cute interior decor and affordable city prices.,prices,positive
Two words: Free wine.,wine,positive
The price is reasonable although the service is poor.,price,positive
The price is reasonable although the service is poor.,service,negative
The quantity is also very good[comma] you will come out satisfied.,quantity,positive
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers[comma] we sat at the sushi bar to be closer to the action.,sushi,neutral
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers[comma] we sat at the sushi bar to be closer to the action.,sushi bar,neutral
The fried rice is amazing here.,fried rice,positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,mussels,positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,puff pastry goat cheese,positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,salad with a delicious dressing,positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,hanger steak au poivre,positive
Three courses - choices include excellent mussels[comma] puff pastry goat cheese and salad with a delicious dressing[comma] and a hanger steak au poivre that is out of this world.,courses,neutral
it's a perfect place to have a amanzing indian food.,indian food,positive
The place is so cool and the service is prompt and curtious.,service,positive
The place is so cool and the service is prompt and curtious.,place,positive
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive
I just wonder how you can have such a delicious meal for such little money.,meal,positive
I just wonder how you can have such a delicious meal for such little money.,money,positive
The wine list is excellent.,wine list,positive
Ive been to many Thai restaurants in Manhattan before[comma] and Toons is by far the best Thai food Ive had (except for my mom's of course).,Thai food,positive
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral
Whem asked[comma] we had to ask more detailed questions so that we knew what the specials were.,specials,neutral
This is a consistently great place to dine for lunch or dinner.,lunch,neutral
This is a consistently great place to dine for lunch or dinner.,dinner,neutral
This is a consistently great place to dine for lunch or dinner.,dine,positive
Nice atmosphere[comma] the service was very pleasant and the desert was good.,atmosphere,positive
Nice atmosphere[comma] the service was very pleasant and the desert was good.,service,positive
Nice atmosphere[comma] the service was very pleasant and the desert was good.,desert,positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral
Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,service,positive
Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,food,positive
Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,atmosphere,positive
Fabulous service[comma] fantastic food[comma] and a chilled out atmosphere and environment.,environment,positive
Try the lasagnette appetizer.,lasagnette appetizer,positive
I liked the beer selection!,beer selection,positive
Great food[comma] good size menu[comma] great service and an unpretensious setting.,food,positive
Great food[comma] good size menu[comma] great service and an unpretensious setting.,menu,positive
Great food[comma] good size menu[comma] great service and an unpretensious setting.,service,positive
Great food[comma] good size menu[comma] great service and an unpretensious setting.,setting,positive
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive
Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive
With the great variety on the menu [comma] I eat here often and never get bored .,menu,positive
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative
The menu is limited but almost all of the dishes are excellent.,menu,negative
The menu is limited but almost all of the dishes are excellent.,dishes,positive
Not too crazy about their sake martini.,sake martini,negative
Great bagels[comma] spreads and a good place to hang out in.,bagels,positive
Great bagels[comma] spreads and a good place to hang out in.,spreads,positive
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral
Unfortunately[comma] the food is outstanding[comma] but everything else about this restaurant is the pits.,food,positive
We always have a delicious meal and always leave feeling satisfied.,meal,positive
Dip the ingredients in with your chopsticks[comma] swirl them around[comma] and eat.,ingredients,neutral
Dip the ingredients in with your chopsticks[comma] swirl them around[comma] and eat.,chopsticks,neutral
First went here to enjoy their garden terrace.,garden terrace,positive
The pizza was pretty good and huge.,pizza,positive
The cuisine from what I've gathered is authentic Taiwanese[comma] though its very different from what I've been accustomed to in Taipei.,cuisine,neutral
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative
All my co-workers were amazed at how small the dish was.,dish,negative
The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,atmosphere,positive
The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,service,positive
The atmosphere is unheralded[comma] the service impecible[comma] and the food magnificant.,food,positive
We ordered the special[comma] grilled branzino[comma] that was so infused with bone[comma] it was difficult to eat.,grilled branzino,negative
The wait staff is friendly[comma] and the food has gotten better and better!,wait staff,positive
The wait staff is friendly[comma] and the food has gotten better and better!,food,positive
It may be a bit packed on weekends[comma] but the vibe is good and it is the best French food you will find in the area.,vibe,positive
It may be a bit packed on weekends[comma] but the vibe is good and it is the best French food you will find in the area.,French food,positive
It may be a bit packed on weekends[comma] but the vibe is good and it is the best French food you will find in the area.,packed,negative
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive
